,BALBOA LAKE MGD,J GARDEN MGD,WILDLIFE LAKE MGD,SOUTH CHANNEL WEIR MGD,Datetime
170,86952.0625,-2610883.5,586666.25,8383424.5,2017-10-08 02:00:00
171,86945.78125,-2610696.0,586624.125,8382810.5,2017-10-08 03:00:00
172,86939.51563,-2610508.0,586581.875,8382196.5,2017-10-08 04:00:00
173,86933.23438,-2610320.5,586539.75,8381582.0,2017-10-08 05:00:00
174,86926.96875,-2610132.5,586497.5,8380968.0,2017-10-08 06:00:00
175,86920.6875,-2609944.5,586455.375,8380354.0,2017-10-08 07:00:00
176,86914.42188,-2609757.0,586413.125,8379740.0,2017-10-08 08:00:00
177,86908.14063,-2609569.0,586371.0,8379125.5,2017-10-08 09:00:00
178,86901.875,-2609381.5,586328.75,8378511.5,2017-10-08 10:00:00
179,86895.59375,-2609193.5,586286.625,8377897.5,2017-10-08 11:00:00
180,86889.32813,-2609006.0,586244.375,8377283.0,2017-10-08 12:00:00
181,86883.04688,-2608818.0,586202.125,8376669.0,2017-10-08 13:00:00
182,86876.78125,-2608630.5,586160.0,8376055.0,2017-10-08 14:00:00
183,86870.5,-2608442.5,586117.75,8375440.5,2017-10-08 15:00:00
184,86864.23438,-2608254.5,586075.625,8374826.5,2017-10-08 16:00:00
185,86857.95313,-2608067.0,586033.375,8374212.5,2017-10-08 17:00:00
186,86851.6875,-2607879.0,585991.25,8373598.0,2017-10-08 18:00:00
187,86845.40625,-2607691.5,585949.0,8372984.0,2017-10-08 19:00:00
188,86839.14063,-2607503.5,585906.875,8372370.0,2017-10-08 20:00:00
189,86832.85938,-2607316.0,585864.625,8371756.0,2017-10-08 21:00:00
190,86826.59375,-2607128.0,585822.375,8371141.5,2017-10-08 22:00:00
191,86820.3125,-2606940.5,585780.25,8370527.5,2017-10-08 23:00:00
192,86814.04688,-2606752.5,585738.0,8369913.5,2017-10-09 00:00:00
193,86807.76563,-2606564.5,585695.875,8369299.0,2017-10-09 01:00:00
194,86801.5,-2606377.0,585653.625,8368685.0,2017-10-09 02:00:00
195,86795.21875,-2606189.0,585611.5,8368071.0,2017-10-09 03:00:00
196,86788.95313,-2606001.5,585569.25,8367456.5,2017-10-09 04:00:00
197,86782.67188,-2605813.5,585527.125,8366842.5,2017-10-09 05:00:00
198,86776.40625,-2605626.0,585484.875,8366228.5,2017-10-09 06:00:00
199,86770.125,-2605438.0,585442.75,8365614.5,2017-10-09 07:00:00
200,86763.85938,-2605250.5,585400.5,8365000.0,2017-10-09 08:00:00
201,86757.57813,-2605062.5,585358.25,8364386.0,2017-10-09 09:00:00
202,86751.3125,-2604874.5,585316.125,8363772.0,2017-10-09 10:00:00
203,86745.04688,-2604687.0,585273.875,8363157.5,2017-10-09 11:00:00
204,86738.76563,-2604499.0,585231.75,8362543.5,2017-10-09 12:00:00
205,86732.5,-2604311.5,585189.5,8361929.5,2017-10-09 13:00:00
206,86726.21875,-2604123.5,585147.375,8361315.0,2017-10-09 14:00:00
207,86719.95313,-2603936.0,585105.125,8360701.0,2017-10-09 15:00:00
208,86713.67188,-2603748.0,585063.0,8360087.0,2017-10-09 16:00:00
209,86707.40625,-2603560.5,585020.75,8359472.5,2017-10-09 17:00:00
210,86701.125,-2603372.5,584978.625,8358858.5,2017-10-09 18:00:00
211,86694.85938,-2603184.5,584936.375,8358244.5,2017-10-09 19:00:00
212,86688.57813,-2602997.0,584894.125,8357630.5,2017-10-09 20:00:00
213,86682.3125,-2602809.0,584852.0,8357016.0,2017-10-09 21:00:00
214,86676.03125,-2602621.5,584809.75,8356402.0,2017-10-09 22:00:00
215,86669.76563,-2602433.5,584767.625,8355788.0,2017-10-09 23:00:00
216,86663.48438,-2602246.0,584725.375,8355173.5,2017-10-10 00:00:00
217,86657.21875,-2602058.0,584683.25,8354559.5,2017-10-10 01:00:00
218,86650.9375,-2601870.0,584641.0,8353945.5,2017-10-10 02:00:00
219,86644.67188,-2601682.5,584598.875,8353331.0,2017-10-10 03:00:00
220,86638.39063,-2601494.5,584556.625,8352717.0,2017-10-10 04:00:00
221,86632.125,-2601307.0,584514.375,8352103.0,2017-10-10 05:00:00
222,86625.84375,-2601119.0,584472.25,8351488.5,2017-10-10 06:00:00
223,86619.57813,-2600931.5,584430.0,8350874.5,2017-10-10 07:00:00
224,86613.29688,-2600743.5,584387.875,8350260.5,2017-10-10 08:00:00
225,86607.03125,-2600556.0,584345.625,8349646.5,2017-10-10 09:00:00
226,86600.75,-2600368.0,584303.5,8349032.0,2017-10-10 10:00:00
227,86594.48438,-2600180.0,584261.25,8348418.0,2017-10-10 11:00:00
228,86588.20313,-2599992.5,584219.125,8347804.0,2017-10-10 12:00:00
229,86581.9375,-2599804.5,584176.875,8347189.5,2017-10-10 13:00:00
230,86575.65625,-2599617.0,584134.75,8346575.5,2017-10-10 14:00:00
231,86569.39063,-2599429.0,584092.5,8345961.5,2017-10-10 15:00:00
232,86563.10938,-2599241.5,584050.25,8345347.0,2017-10-10 16:00:00
233,86556.84375,-2599053.5,584008.125,8344733.0,2017-10-10 17:00:00
234,86550.5625,-2598866.0,583965.875,8344119.0,2017-10-10 18:00:00
235,86544.29688,-2598678.0,583923.75,8343504.5,2017-10-10 19:00:00
236,86538.01563,-2598490.0,583881.5,8342890.5,2017-10-10 20:00:00
237,86531.75,-2598302.5,583839.375,8342276.5,2017-10-10 21:00:00
238,86525.46875,-2598114.5,583797.125,8341662.5,2017-10-10 22:00:00
239,86519.20313,-2597927.0,583755.0,8341048.0,2017-10-10 23:00:00
240,86512.92188,-2597739.0,583712.75,8340434.0,2017-10-11 00:00:00
241,86506.65625,-2597551.5,583670.625,8339820.0,2017-10-11 01:00:00
242,86500.375,-2597363.5,583628.375,8339205.5,2017-10-11 02:00:00
243,86494.10938,-2597176.0,583586.125,8338591.5,2017-10-11 03:00:00
244,86487.82813,-2596988.0,583544.0,8337977.5,2017-10-11 04:00:00
245,86481.5625,-2596800.0,583501.75,8337363.0,2017-10-11 05:00:00
246,86475.28125,-2596612.5,583459.625,8336749.0,2017-10-11 06:00:00
247,86469.01563,-2596424.5,583417.375,8336135.0,2017-10-11 07:00:00
248,86462.73438,-2596237.0,583375.25,8335520.5,2017-10-11 08:00:00
249,86456.46875,-2596049.0,583333.0,8334906.5,2017-10-11 09:00:00
250,86450.1875,-2595861.5,583290.875,8334292.5,2017-10-11 10:00:00
251,86443.92188,-2595673.5,583248.625,8333678.5,2017-10-11 11:00:00
252,86437.64063,-2595486.0,583206.5,8333064.0,2017-10-11 12:00:00
253,86431.375,-2595298.0,583164.25,8332450.0,2017-10-11 13:00:00
254,86425.09375,-2595110.0,583122.0,8331836.0,2017-10-11 14:00:00
255,86418.82813,-2594922.5,583079.875,8331221.5,2017-10-11 15:00:00
256,86412.54688,-2594734.5,583037.625,8330607.5,2017-10-11 16:00:00
257,86406.28125,-2594547.0,582995.5,8329993.5,2017-10-11 17:00:00
258,86400.0,-2594359.0,582953.25,8329379.0,2017-10-11 18:00:00
259,86393.73438,-2594171.5,582911.125,8328765.0,2017-10-11 19:00:00
260,86387.45313,-2593983.5,582868.875,8328151.0,2017-10-11 20:00:00
261,86381.1875,-2593796.0,582826.75,8327537.0,2017-10-11 21:00:00
262,86374.90625,-2593608.0,582784.5,8326922.5,2017-10-11 22:00:00
263,86368.64063,-2593420.0,582742.25,8326308.5,2017-10-11 23:00:00
264,86362.35938,-2593232.5,582700.125,8325694.5,2017-10-12 00:00:00
265,86356.09375,-2593044.5,582657.875,8325080.0,2017-10-12 01:00:00
266,86349.8125,-2592857.0,582615.75,8324466.0,2017-10-12 02:00:00
